NOC,INDICATOR,SUBJECT,MEASURE,FREQUENCY,Year,Value,Flag Codes
MLT,POP,WOMEN,MLN_PER,A,1987,174.703,
MLT,POP,WOMEN,MLN_PER,A,1988,176.07,
MLT,POP,WOMEN,MLN_PER,A,1989,177.704,
MLT,POP,WOMEN,MLN_PER,A,1990,179.332,
MLT,POP,WOMEN,MLN_PER,A,1991,180.993,
MLT,POP,WOMEN,MLN_PER,A,1992,182.704,
MLT,POP,WOMEN,MLN_PER,A,1993,184.375,
MLT,POP,WOMEN,MLN_PER,A,1994,185.906,
MLT,POP,WOMEN,MLN_PER,A,1995,187.219,
MLT,POP,WOMEN,MLN_PER,A,1996,188.232,
MLT,POP,WOMEN,MLN_PER,A,1997,189.244,
MLT,POP,WOMEN,MLN_PER,A,1998,190.339,
MLT,POP,WOMEN,MLN_PER,A,1999,191.221,
MLT,POP,WOMEN,MLN_PER,A,2000,194.669,
MLT,POP,WOMEN,MLN_PER,A,2001,198.502,
MLT,POP,WOMEN,MLN_PER,A,2002,199.869,
MLT,POP,WOMEN,MLN_PER,A,2003,201.114,
MLT,POP,WOMEN,MLN_PER,A,2004,202.427,
MLT,POP,WOMEN,MLN_PER,A,2005,203.619,
MLT,POP,WOMEN,MLN_PER,A,2006,204.131,
MLT,POP,WOMEN,MLN_PER,A,2007,204.596,
MLT,POP,WOMEN,MLN_PER,A,2008,205.707,
MLT,POP,WOMEN,MLN_PER,A,2009,207.072,
MLT,POP,WOMEN,MLN_PER,A,2010,208.205,
MLT,POP,WOMEN,MLN_PER,A,2011,209.213,
MLT,POP,WOMEN,MLN_PER,A,2012,210.99,
MLT,POP,WOMEN,MLN_PER,A,2013,213.514,
MLT,POP,WOMEN,MLN_PER,A,2014,217.046,
MLT,POP,WOMEN,MLN_PER,A,2015,221.613,
MLT,POP,WOMEN,MLN_PER,A,2016,226.327,
MLT,POP,WOMEN,MLN_PER,A,2017,231.871,
MLT,POP,WOMEN,MLN_PER,A,2018,238.412,
MLT,POP,WOMEN,MLN_PER,A,2019,245.261,
MLT,POP,WOMEN,MLN_PER,A,2020,253.24,
ROU,POP,MEN,MLN_PER,A,1950,7.849079,
ROU,POP,MEN,MLN_PER,A,1951,7.992407,
ROU,POP,MEN,MLN_PER,A,1952,8.123785,
ROU,POP,MEN,MLN_PER,A,1953,8.249542,
ROU,POP,MEN,MLN_PER,A,1954,8.374003,
ROU,POP,MEN,MLN_PER,A,1955,8.499494,
ROU,POP,MEN,MLN_PER,A,1956,8.626247,
ROU,POP,MEN,MLN_PER,A,1957,8.752481,
ROU,POP,MEN,MLN_PER,A,1958,8.874765,
ROU,POP,MEN,MLN_PER,A,1959,8.988591,
ROU,POP,MEN,MLN_PER,A,1960,9.090018,
ROU,POP,MEN,MLN_PER,A,1961,9.177541,
ROU,POP,MEN,MLN_PER,A,1962,9.253612,
ROU,POP,MEN,MLN_PER,A,1963,9.325352,
ROU,POP,MEN,MLN_PER,A,1964,9.402638,
ROU,POP,MEN,MLN_PER,A,1965,9.49243,
ROU,POP,MEN,MLN_PER,A,1966,9.597269,
ROU,POP,MEN,MLN_PER,A,1967,9.714747,
ROU,POP,MEN,MLN_PER,A,1968,9.711195,
ROU,POP,MEN,MLN_PER,A,1969,9.818785,
ROU,POP,MEN,MLN_PER,A,1970,9.943066,
ROU,POP,MEN,MLN_PER,A,1971,10.051942,
ROU,POP,MEN,MLN_PER,A,1972,10.153492,
ROU,POP,MEN,MLN_PER,A,1973,10.24646,
ROU,POP,MEN,MLN_PER,A,1974,10.347794,
ROU,POP,MEN,MLN_PER,A,1975,10.485457,
ROU,POP,MEN,MLN_PER,A,1976,10.621333,
ROU,POP,MEN,MLN_PER,A,1977,10.727792,
ROU,POP,MEN,MLN_PER,A,1978,10.826441,
ROU,POP,MEN,MLN_PER,A,1979,10.896559,
ROU,POP,MEN,MLN_PER,A,1980,10.955928,
ROU,POP,MEN,MLN_PER,A,1981,11.029055,
