NOC,Athletics,Swimming,Gymnastics,Cycling,Rowing,Shooting,Fencing,Canoeing,Wrestling,Football,Boxing,Equestrianism,Judo,Basketball,Handball,Volleyball,Weightlifting,Water Polo,Archery,Diving,Tennis,Table Tennis,Badminton,Modern Pentathlon,Sychronized Swimming,Baseball,Rhythmic Gymnastics,Taekwondo,Beach Volleyball,Triathlon,Softball,Rugby Sevens,Trampoling,Golf,Hockey
NAM,0.6451688695584518,0.024009913670808937,0.0002145847123795011,0.02396483568691873,,0.0009469856892404617,,,0.06396799678731176,,0.07947669259095623,,,,,,,,,,,,,,,,,,,,,,,,
VNM,0.04449902887192627,0.0024462566824477185,0.02218855488003669,0.002306868411788751,0.025933288441443384,0.5357039591022592,0.004386912159293843,0.030060683155587645,0.31164650267235033,,0.09056453816850361,,0.08066268921249578,,,,0.38631054094024825,,,,,0.0072685319465871645,0.05753401519478713,,,,,0.15800280444806145,,,,,,,
SEN,0.050399093771365526,0.0050897639371298466,,,,0.0028058004487481357,0.06058894965463918,0.15768128123291542,0.016820630441607816,0.009922267402324473,0.11575102965637574,,0.04255797366451529,0.005962306842656231,,,,,,,,0.006626747449559909,,,,,,0.1845908226813102,,,,,,,
SUR,0.06939837644615868,0.3216930415395979,,0.1400408229370985,,,,,,,,,0.1890465655008955,,,,,,,,,,0.001491133338382617,,,,,,,,,,,,
SLB,0.016298299070555508,,,,,,,,,,0.13534339507450133,,0.004348928866562971,,,,0.0706284870067977,,0.05813585603887096,,,,,,,,,,,,,,,,
VUT,0.013500317374756784,,,,0.022678816940342655,,,,,,0.1622909707675234,,0.08019709786213347,,,,,,0.027845519023936987,,,0.0031716931524857525,,,,,,,,,,,,,
GUM,0.1390836219919576,0.10433465133473445,,0.2213703880416737,,,,0.3101601332790701,0.30082877439786326,,,,0.13342054296825898,,,,,,,,,,,,,,,,,,,,,,
ERI,0.3301998123531381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,0.016298299070555508,0.0024462566824477185,,,,,,,0.06278701656843426,,0.09056453816850361,,,,,,0.0706284870067977,,,,,,,,,,,,,,,,,,
HTI,0.0817997540711348,0.024009913670808937,,,,,,,0.07646123336483504,,0.292691028824794,,0.024951088600525074,,,,0.05822590916215798,,,,0.017619964080184465,,,,,,,0.1845908226813102,,,,,,,
NOR,0.31561229063840673,0.036551629974873635,0.007420544029738573,0.24274979484573378,0.556722694658282,0.1927342740525262,0.024546423543793425,0.5809351359986659,0.14696910431030025,0.09702095244397325,0.13660551340769608,0.12447267096022127,0.15282268903336665,,0.4717861642305068,,0.30538085118400654,,0.06868556135987618,0.03381928435019355,0.14892275323702608,,0.01601937148162578,,,,0.13148062234775154,0.5477435991467514,0.06631847735366297,0.438858258249687,,,,0.19738189824234964,
SLE,0.025537616861187544,0.006462043535461509,,0.003303412559960544,,,,,,,0.11575102965637574,,,,,,0.059869967005457894,,,,,,,,,,,,,,,,,,
PRI,0.12216246605794444,0.004307331485768017,0.03062312124162191,0.04657246169779505,0.1936639655934338,0.018482590112409724,0.016549276627398617,,0.18456552958676906,,0.307411922759146,0.08134130404633076,0.05261657584343385,0.006952543897581696,,,0.04347323505257816,,0.06868556135987618,0.044011253454934986,0.13517257599691582,,,,0.0743918778918783,0.0010445411946877839,,0.1672951430944124,0.0810019409034648,,0.00014627140705454522,,,,
BLZ,0.021861944952021338,,,0.04657246169779505,,0.1927342740525262,,,,,0.24560435356965157,,0.11127767384710899,,,,0.05608355650286459,,,,,,,,,,,0.1845908226813102,,,,,,,
VCT,0.038687422337377625,0.006289438635137873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,0.3673596027420274,0.006289438635137873,,,,,,,,,0.1622909707675234,,,,,,,,,,,,,,,,,0.15800280444806145,,,,,,,
BRB,0.15133208121165118,0.02337962468866477,0.02490732266443096,0.003303412559960544,,0.0337717404785351,,,,,0.1622909707675234,,0.08019709786213347,,,,,,,,0.02455386263468828,,,,,,,,,0.03767456848293651,,,,,
LBR,0.05507553496351598,,,,,,,,,,0.18031539391726345,,,,,,,,,,,,,,,,,,,,,,,,
ATG,0.023713854020851348,0.02337962468866477,,0.003303412559960544,,,,0.030060683155587645,,,0.1622909707675234,,,,,,,,,,,,,,,,,,,,,,,,
TTO,0.6297580015517525,0.15205727299837887,0.02891933930442457,0.016462162415454364,0.19190910366342848,0.1451621296221189,,,,,0.24560435356965157,,0.181608804010663,,,,0.018070835272795786,,,,,0.0072685319465871645,0.06364383232543028,,,,,0.23510899147822573,,,,,,,
LKA,0.14551859441788867,0.0019781877952995608,,0.001160884118695163,,0.026887771358102417,,,0.02391894802655922,,0.09056453816850361,,0.004348928866562971,,,,0.0706284870067977,,,0.029468414122928967,,,0.06364383232543028,,,,,,,,,,,,
MLT,0.10396786416521439,0.06919730537825126,,0.11878097894697198,,0.09392450139146521,,,0.16721111874287437,,,,0.18786295576078754,,,,0.1718290686831812,,0.08724615131173594,,,,,,,,,,,,,,,,
SYC,0.03922873436292882,0.022176795385657467,,,,,,0.10793980654144092,,,0.12382639440838102,,0.181608804010663,,,,0.19701595185984422,,,,,,0.04255626407898637,,,,,,,,,,,,
PNG,0.008635524511015676,0.007021687455826853,,,,0.1451621296221189,,,,,0.0967687991231182,,0.11403648406666231,,,,0.05822590916215798,,,,,,,,,,,0.23510899147822573,,,,,,,
ARG,0.01762416109101958,0.02975244239594283,0.018370237838149058,0.05528080021359865,0.06370131697062369,0.02793666015363969,0.018639998931938295,0.033430142009270594,0.052524732815750826,0.6672447044111769,0.20869441488504842,0.15173323053484655,0.1745895567079921,0.6811798454940093,0.027548997833756375,0.4500880266755635,0.03344686746880565,,0.03005567708408142,0.044011253454934986,0.505234911046545,0.09046479685520117,,0.7600329756928212,0.0743918778918783,,,0.41145771971053174,0.0810019409034648,0.0021006299743193736,,0.11577051710830963,,0.07934323111654655,0.6521819842305839
BHS,0.6938527322033418,0.052049400772760705,,0.0823355470359203,0.29457341323223246,,,,0.07646123336483504,,0.24843168477866717,,,,,,,,,0.044011253454934986,0.13517257599691582,,,,,,,,,,,,,,
