NOC,Team,Archery,Athletics,Badminton,Baseball,Basketball,Beach Volleyball,Boxing,Canoeing,Cycling,Diving,Equestrianism,Fencing,Football,Golf,Gymnastics,Handball,Hockey,Judo,Modern Pentathlon,Rhythmic Gymnastics,Rowing,Rugby Sevens,Shooting,Softball,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Volleyball,Water Polo,Weightlifting,Wrestling
GNQ,Equatorial Guinea,,37.0,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,
GRC,Greece,17.0,323.0,2.0,23.0,48.0,6.0,29.0,15.0,36.0,23.0,12.0,25.0,34.0,,104.0,30.0,,24.0,4.0,40.0,59.0,,78.0,14.0,209.0,20.0,21.0,11.0,22.0,1.0,3.0,24.0,176.0,68.0,102.0
GRC,Greece-1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece-2,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,,38.0,,,,,9.0,,,,,,,,,,,,,,,,,,6.0,,,1.0,,,,,,,
GTM,Guatemala,,66.0,5.0,,,,7.0,1.0,29.0,,6.0,1.0,53.0,,18.0,,,5.0,6.0,,3.0,,45.0,,84.0,,,5.0,,,,,,13.0,18.0
GUM,Guam,1.0,20.0,,,,,1.0,2.0,18.0,,,,,,,,,7.0,,,,,,,44.0,,,,,,,,,4.0,6.0
GUY,Guyana,,47.0,,,,,18.0,,13.0,,,,,,,,,1.0,,,,,,,6.0,,,,,,,,,3.0,
HKG,Hong Kong,11.0,36.0,36.0,,,,2.0,27.0,54.0,7.0,6.0,68.0,,1.0,9.0,,17.0,17.0,,,21.0,,35.0,,192.0,,66.0,,,,3.0,,,1.0,
HKG,Hong Kong-1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
HKG,Hong Kong-2,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,
HND,Honduras,,30.0,,,,,6.0,,,,,1.0,68.0,,,,,7.0,,,1.0,,1.0,,65.0,,1.0,2.0,,,,,,3.0,1.0
HRV,Croatia,,64.0,,,58.0,,8.0,26.0,8.0,1.0,2.0,1.0,,,25.0,89.0,,3.0,,,46.0,,47.0,,106.0,,36.0,10.0,37.0,,,11.0,77.0,3.0,5.0
HTI,Haiti,,47.0,,,,,6.0,,,,,2.0,,,,,,14.0,,,,,,,3.0,,,2.0,3.0,,,,,2.0,1.0
HUN,Hungary,14.0,417.0,7.0,,36.0,,80.0,267.0,74.0,29.0,48.0,378.0,81.0,,774.0,189.0,,76.0,71.0,7.0,99.0,,185.0,,542.0,4.0,36.0,1.0,30.0,,12.0,47.0,226.0,91.0,184.0
HUN,Hungary-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
HUN,Hungary-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
IDN,Indonesia,38.0,40.0,46.0,,,4.0,21.0,7.0,12.0,4.0,,9.0,,,,,,9.0,,,3.0,,8.0,,37.0,,11.0,3.0,18.0,,,,,47.0,2.0
IDN,Indonesia-1,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia-2,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,India,56.0,190.0,27.0,,12.0,,45.0,,12.0,2.0,10.0,,12.0,3.0,53.0,,246.0,15.0,,,10.0,,99.0,,17.0,,26.0,,35.0,,,,,32.0,82.0
IND,India-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
IND,India-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
IRL,Ireland,11.0,250.0,7.0,,,,82.0,48.0,70.0,1.0,159.0,40.0,,4.0,18.0,,16.0,16.0,10.0,,57.0,,25.0,,110.0,,,,7.0,,5.0,,,3.0,7.0
IRN,Iran,5.0,57.0,1.0,,12.0,,41.0,6.0,70.0,1.0,1.0,55.0,48.0,,12.0,,,18.0,,,5.0,,27.0,,6.0,,9.0,14.0,,,,12.0,11.0,55.0,166.0
IRQ,Iraq,1.0,47.0,,,,,22.0,,3.0,,,,80.0,,,,,2.0,,,3.0,,3.0,,4.0,,1.0,1.0,,,,,,29.0,23.0
ISL,Iceland,,74.0,8.0,,,,,,,,,,,,25.0,102.0,,15.0,,,,,4.0,,122.0,,,,,,,,,7.0,
ISR,Israel,,73.0,2.0,,,,5.0,15.0,4.0,,,21.0,32.0,1.0,90.0,,,32.0,,25.0,,,58.0,,129.0,8.0,1.0,3.0,20.0,,1.0,,,12.0,17.0
ITA,Italy,93.0,659.0,3.0,88.0,144.0,16.0,105.0,172.0,289.0,84.0,199.0,436.0,137.0,4.0,781.0,,18.0,76.0,66.0,47.0,329.0,,219.0,30.0,653.0,52.0,19.0,11.0,72.0,3.0,17.0,192.0,234.0,47.0,80.0
ITA,Italy-1,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
ITA,Italy-2,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,
JAM,Jamaica,,630.0,1.0,,,,21.0,,33.0,2.0,2.0,,,,4.0,,,,,,,,2.0,,39.0,,6.0,1.0,,,1.0,,,3.0,
JOR,Jordan,1.0,21.0,,,,,5.0,,,,4.0,2.0,,,,,,1.0,,,,,16.0,,12.0,,5.0,8.0,,,1.0,,,,4.0
JPN,Dow Jones,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,92.0,559.0,39.0,112.0,96.0,10.0,60.0,98.0,152.0,64.0,169.0,163.0,197.0,4.0,1002.0,66.0,103.0,129.0,46.0,33.0,129.0,25.0,180.0,59.0,706.0,78.0,66.0,7.0,49.0,12.0,25.0,232.0,60.0,105.0,210.0
JPN,Japan-1,,,16.0,,,4.0,,,,,,,,,,,,,,,,,,,,,16.0,,2.0,,,,,,
